varietal id,varietal
g1,Pinot Noir
g2,Cabernet Sauvignon
g3,Merlot
g4,Syrah
g5,Malbec
g6,Grenache
g7,Chardonnay
g8,Sauvignon Blanc
g9,Riesling
g10,Pinot Gris
g11,Chenin Blanc
g12,Moscato
g13,Albariño
g14,Viognier
g15,Prosecco
g16,Blanc de Noir
g17,Blanc de Blancs
g18,Champagne
g19,Cava
g20,Gamay
