country id,country
c001,United States
c002,Italy
c003,Argentina
c004,Chile
c005,Australia
c006,Canada
c007,
c008,France
c009,Germany
c010,Austria
c011,Spain
c012,South Africa
c013,Switzerland
c014,New Zealand
c015,Portugal
