country id,country
c001,Spain
c002,Italy
c003,Portugal
c004,United States
c005,France
c006,
c007,Argentina
c008,South Africa
c009,Hungary
c010,Australia
c011,Chile
c012,Austria
c013,Macedonia
c014,Canada
c015,Germany
c016,Romania
c017,Switzerland
c018,New Zealand
c019,Slovenia
c020,Georgia
c021,Greece
c022,Israel
c023,Turkey
c024,Moldova
c025,Brazil
c026,Uruguay
